Year,State,Region,Population,Mortality,,Bchecks,,,,,,,,,,,,,,
2012,Alabama,South Region,4822023,820,"431,356",431.356,,,,,,,,,,,,,,
2012,Alaska,West Region,731449,115,"85,342",85.342,,,,,,,,,,,,,,
2012,Arizona,West Region,6553255,928,"339,663",339.663,,,,,,,,,,,,,,
2012,Arkansas,South Region,2949131,483,"246,193",246.193,,,,,,,,,,,,,,
2012,California,West Region,38041430,2956,"1,132,603",1132.603,,,,,,,,,,,,,,
2012,Colorado,West Region,5187582,659,"414,838",414.838,,,,,,,,,,,,,,
2012,Connecticut,Northeast Region,3590347,225,"237,496",237.496,,,,,,,,,,,,,,
2012,Delaware,South Region,917092,92,"30,724",30.724,,,,,,,,,,,,,,
2012,District of Columbia,South Region,632323,65,449,0.449,,,,,,,,,,,,,,
2012,Florida,South Region,19317568,2449,"834,319",834.319,,,,,,,,,,,,,,
2012,Georgia,South Region,9919945,1267,"465,560",465.56,,,,,,,,,,,,,,
2012,Hawaii,West Region,1392313,43,"17,428",17.428,,,,,,,,,,,,,,
2012,Idaho,West Region,1595728,194,"136,482",136.482,,,,,,,,,,,,,,
2012,Illinois,Midwest Region,12875255,1164,"1,036,061",1036.061,,,,,,,,,,,,,,
2012,Indiana,Midwest Region,6537334,778,"475,607",475.607,,,,,,,,,,,,,,
2012,Iowa,Midwest Region,3074186,208,"147,700",147.7,,,,,,,,,,,,,,
2012,Kansas,Midwest Region,2885905,364,"210,972",210.972,,,,,,,,,,,,,,
2012,Kentucky,South Region,4380415,645,"2,589,358",2589.358,,,,,,,,,,,,,,
2012,Louisiana,South Region,4601893,836,"326,290",326.29,,,,,,,,,,,,,,
2012,Maine,Northeast Region,1329192,127,"91,834",91.834,,,,,,,,,,,,,,
2012,Maryland,South Region,5884563,566,"136,604",136.604,,,,,,,,,,,,,,
2012,Massachusetts,Northeast Region,6646144,224,"210,453",210.453,,,,,,,,,,,,,,
2012,Michigan,Midwest Region,9883360,1202,"430,405",430.405,,,,,,,,,,,,,,
2012,Minnesota,Midwest Region,5379139,371,"440,992",440.992,,,,,,,,,,,,,,
2012,Mississippi,South Region,2984926,524,"222,297",222.297,,,,,,,,,,,,,,
2012,Missouri,Midwest Region,6021988,874,"513,303",513.303,,,,,,,,,,,,,,
2012,Montana,West Region,1005141,163,"134,455",134.455,,,,,,,,,,,,,,
2012,Nebraska,Midwest Region,1855525,161,"85,860",85.86,,,,,,,,,,,,,,
2012,Nevada,West Region,2758931,351,"146,363",146.363,,,,,,,,,,,,,,
2012,New Hampshire,Northeast Region,1320718,111,"128,178",128.178,,,,,,,,,,,,,,
2012,New Jersey,Northeast Region,8864590,436,"85,851",85.851,,,,,,,,,,,,,,
2012,New Mexico,West Region,2085538,310,"143,419",143.419,,,,,,,,,,,,,,
2012,New York,Northeast Region,19570261,952,"338,619",338.619,,,,,,,,,,,,,,
2012,North Carolina,South Region,9752073,1160,"489,307",489.307,,,,,,,,,,,,,,
2012,North Dakota,Midwest Region,699628,63,"84,867",84.867,,,,,,,,,,,,,,
2012,Ohio,Midwest Region,11544225,1239,"629,215",629.215,,,,,,,,,,,,,,
2012,Oklahoma,South Region,3814820,611,"367,976",367.976,,,,,,,,,,,,,,
2012,Oregon,West Region,3899353,420,"267,041",267.041,,,,,,,,,,,,,,
2012,Pennsylvania,Northeast Region,12763536,1431,"968,534",968.534,,,,,,,,,,,,,,
2012,Rhode Island,Northeast Region,1050292,41,"24,050",24.05,,,,,,,,,,,,,,
2012,South Carolina,South Region,4723723,732,"308,408",308.408,,,,,,,,,,,,,,
2012,South Dakota,Midwest Region,833354,76,"88,447",88.447,,,,,,,,,,,,,,
2012,Tennessee,South Region,6456243,992,"524,122",524.122,,,,,,,,,,,,,,
2012,Texas,South Region,26059203,2715,"1,436,132",1436.132,,,,,,,,,,,,,,
2012,Utah,West Region,2855287,311,"230,999",230.999,,,,,,,,,,,,,,
2012,Vermont,Northeast Region,626011,50,"34,507",34.507,,,,,,,,,,,,,,
2012,Virginia,South Region,8185867,822,"448,754",448.754,,,,,,,,,,,,,,
2012,Washington,West Region,6897012,656,"519,209",519.209,,,,,,,,,,,,,,
2012,West Virginia,South Region,1855413,264,"225,580",225.58,,,,,,,,,,,,,,
2012,Wisconsin,Midwest Region,5726398,474,"469,375",469.375,,,,,,,,,,,,,,
2012,Wyoming,West Region,576412,102,"63,356",63.356,,,,,,,,,,,,,,
2013,Alabama,South Region,4833722,846,"563,880",563.88,,,,,,,,,,,,,,
2013,Alaska,West Region,735132,139,"93,405",93.405,,,,,,,,,,,,,,
2013,Arizona,West Region,6626624,921,"363,036",363.036,,,,,,,,,,,,,,
2013,Arkansas,South Region,2959373,499,"279,736",279.736,,,,,,,,,,,,,,
2013,California,West Region,38332521,2929,"1,368,295",1368.295,,,,,,,,,,,,,,
2013,Colorado,West Region,5268367,606,"514,658",514.658,,,,,,,,,,,,,,
2013,Connecticut,Northeast Region,3596080,158,"294,338",294.338,,,,,,,,,,,,,,
2013,Delaware,South Region,925749,98,"40,062",40.062,,,,,,,,,,,,,,
2013,District of Columbia,South Region,646449,61,497,0.497,,,,,,,,,,,,,,
2013,Florida,South Region,19552860,2415,"1,073,859",1073.859,,,,,,,,,,,,,,
2013,Georgia,South Region,9992167,1243,"527,885",527.885,,,,,,,,,,,,,,
2013,Hawaii,West Region,1404054,28,"17,416",17.416,,,,,,,,,,,,,,
2013,Idaho,West Region,1612136,214,"147,494",147.494,,,,,,,,,,,,,,
2013,Illinois,Midwest Region,12882135,1101,"1,280,613",1280.613,,,,,,,,,,,,,,
2013,Indiana,Midwest Region,6570902,836,"597,124",597.124,,,,,,,,,,,,,,
2013,Iowa,Midwest Region,3090416,245,"160,062",160.062,,,,,,,,,,,,,,
